Total,Lat,Lon
9,25.0462461,121.5829051
10,25.0433425,121.5847416
1,25.0442983,121.5860185
54,25.0462461,121.5829051
29,25.0717238,121.5204263
32,25.0594212,121.5127942
37,25.125446,121.4713393
63,25.1260123,121.4717368
10,25.0514006,121.534785
10,25.0514006,121.534785
12,25.0514006,121.534785
126,25.0550396,121.5558158
31,25.0499669,121.5601646
8,25.0554717,121.5564565
15,25.0572438,121.5554256
10,25.0579682,121.556171
32,25.0545536,121.5542986
17,25.0562281,121.5541665
2,25.0489666,121.5572801
2,25.0473556,121.559226
7,25.0423751,121.556241
18,25.0469574,121.5558042
32,25.0464643,121.5558791
9,25.0467958,121.5587086
6,25.0353967,121.5567857
18,25.0459551,121.5559464
1,25.0458294,121.5586158
5,25.0475575,121.5570292
5,25.0443457,121.5556135
9,25.0443244,121.5570989
21,25.0439758,121.5561503
4,25.037495,121.5575096
18,25.0389439,121.5575437
13,24.9851087,121.5572316
13,25.0585487,121.5391988
1,25.0607236,121.5385428
1,25.0514542,121.5289645
24,25.0573101,121.5301895
23,25.0573101,121.5301895
12,25.0573101,121.5301895
12,25.0573101,121.5301895
6,25.0500693,121.5625462
12,25.0564552,121.494775
2,25.0215257,121.5209825
34,25.0458378,121.5853694
7,25.0462812,121.5856922
4,25.0545379,121.5941467
18,25.0563448,121.5962847
9,25.0606603,121.5099011
7,25.0280145,121.5498822
38,25.0371693,121.5515915
19,25.0371693,121.5515915
60,25.0293407,121.5512539
10,25.0302281,121.5515249
5,25.0197551,121.5535521
3,25.044397,121.542485
27,25.0452938,121.5408605
12,25.0441183,121.5409852
11,25.0734478,121.6174992
66,25.0038003,121.5270648
13,25.0565159,121.5918462
78,25.0689959,121.5914174
8,25.066611,121.5897293
4,25.0685864,121.5911894
14,25.0699686,121.5913842
3,25.0701885,121.5915963
10,25.0676087,121.5891788
14,25.068224,121.5891904
13,25.0704314,121.5909636
10,25.0708436,121.5888701
57,25.0784747,121.5897126
6,25.0827394,121.5951775
4,25.083421,121.5930919
35,25.0808817,121.5932665
28,25.0811404,121.5942151
7,25.0818309,121.5930512
28,25.0752651,121.6085467
23,25.0732111,121.6085553
24,25.074332,121.6076564
37,25.0735231,121.6074876
22,25.075081,121.6078761
3,25.0665117,121.5913023
10,25.0784747,121.5897126
131,25.0789255,121.6070972
64,25.0840481,121.5952207
13,25.04313,121.5044273
11,25.04313,121.5044273
21,25.0408418,121.5884439
5,25.0416107,121.5867479
14,25.0408418,121.5884439
8,25.0374493,121.5918391
78,25.049997,121.5404454
17,25.0770602,121.5784657
3,25.0760925,121.5787734
46,25.1013225,121.5363991
21,25.101727,121.5325304
56,25.1016704,121.5285808
142,25.0665373,121.5802662
17,25.0648653,121.5777356
15,25.0658583,121.5805245
21,25.0665453,121.5815976
34,25.0595436,121.5811232
25,25.0577398,121.5799587
27,25.0588128,121.5785587
29,25.0646047,121.586886
10,25.0574702,121.5751999
13,25.0577047,121.5792278
13,25.0572028,121.579549
74,25.06377,121.5803775
30,25.0647907,121.5812885
34,25.0632847,121.5823857
29,25.0621923,121.5805702
29,25.0397495,121.5006618
2,25.0247702,121.4928638
6,25.02788,121.4915233
2,25.0278263,121.491052
7,25.0263051,121.4904868
47,25.0367527,121.4993738
20,25.02803,121.4949842
21,25.0568088,121.5088075
85,25.0527032,121.5086044
20,25.0432344,121.5060751
42,25.0432344,121.5060751
57,25.0273195,121.5029114
27,25.0278208,121.4998255
67,25.0293385,121.4980675
47,25.0293385,121.4980675
29,25.0293385,121.4980675
19,25.1089066,121.5238334
8,25.026337,121.5646759
26,25.0264274,121.5615266
4,25.0228667,121.5626862
6,25.0244748,121.56629
7,25.0185995,121.5712728
4,25.026337,121.5646759
113,24.9908224,121.5668956
46,24.9904866,121.5768372
36,24.9912256,121.5385736
1,25.019771,121.5300882
4,25.0206895,121.5307601
108,24.9837411,121.5541616
76,25.0206895,121.5307601
28,25.0229081,121.537914
34,25.0229081,121.537914
24,25.01797,121.5498878
87,25.0224124,121.5336718
17,25.0266197,121.5184934
71,25.0304487,121.5094397
4,25.0307499,121.5079987
22,25.0352602,121.4973745
10,25.0263762,121.5249232
22,25.0273623,121.5304688
3,25.0262869,121.5404386
22,25.02632,121.5417734
32,25.0242498,121.5359124
2,25.0256077,121.5461146
3,25.0195575,121.5555032
7,25.0193566,121.5562094
11,25.0195295,121.5558925
2,25.021265,121.5575258
11,25.0203397,121.5585357
8,25.0210234,121.5589051
1,25.0184251,121.5578475
8,25.0190818,121.5590325
51,25.0187819,121.5593232
28,25.0266246,121.5286394
42,25.0238586,121.5393786
2,25.024742,121.539673
31,25.0231467,121.5410197
7,25.0211718,121.5538501
22,25.0184845,121.5583506
3,25.0639416,121.5100034
5,25.0675737,121.5118813
71,25.086047,121.509669
1,25.0713618,121.5112222
46,25.0773605,121.5107471
9,25.0901391,121.5020092
14,25.0907902,121.503567
65,25.0728348,121.5112136
17,25.0396426,121.5095294
3,25.0340887,121.5069406
53,25.0396925,121.5088915
35,25.0396925,121.5088915
46,25.0405056,121.5547197
6,25.0357803,121.5554542
3,25.0559587,121.5688304
10,25.0563642,121.5619608
12,25.0552908,121.5603638
4,25.0553044,121.5596894
19,25.0544877,121.559765
5,25.0553715,121.5614572
10,25.0558167,121.5597242
11,25.0557146,121.5586183
9,25.0556183,121.557773
35,25.0555365,121.5655039
28,25.0568103,121.5627378
119,25.0568103,121.5627378
1,25.044441,121.523778
5,25.0439588,121.5240905
25,25.0427289,121.5385293
25,25.042845,121.5391135
28,25.0433504,121.5390632
49,25.0398437,121.5412936
14,25.0410873,121.5419703
3,25.0410786,121.5424519
4,25.0439865,121.5502356
8,25.0407744,121.5535229
2,25.0398385,121.5536851
1,25.0393945,121.5535109
2,25.0405302,121.5540895
12,25.0397234,121.5444189
11,25.0403773,121.5729301
1,25.0417884,121.5747615
2,25.0438342,121.5804352
1,25.0442342,121.5805779
10,25.0491203,121.5886466
5,25.0480671,121.5878192
5,25.0479398,121.5872845
6,25.0487119,121.5893939
8,25.0413474,121.5315132
11,25.0428161,121.5416531
27,25.0409736,121.5735432
12,25.0384954,121.5728763
3,25.037578,121.5727481
6,25.0370649,121.5727495
12,25.0389459,121.572904
4,25.042632,121.5452849
