Name,Total,Usage,Lat,Lon
台北市內湖路2段103巷B,54,0.63,25.0822026,121.58113619999995
台北市內湖路2段179巷,51,0.41,25.0842638,121.58528960000001
台北市內湖路2段263巷9弄,3,1,25.0832555,121.5910394
台北市內湖路3段,2,0,25.0904738,121.58189930000003
台北市內湖路3段59巷,8,0.62,25.085787,121.59194260000004
台北市內湖路3段60巷,19,0.79,25.0870727,121.59224930000005
台北市內湖路3段72巷,34,0.32,25.087635,121.59124059999999
台北市內湖路一段120巷及15弄,11,0.91,25.0821179,121.56248600000004
台北市內湖路一段288巷,1,0,25.0816205,121.56835890000002
台北市內湖路一段32巷,13,0.46,25.0842076,121.55945670000006
台北市內湖路一段518巷,11,0.91,25.0796906,121.5737924
台北市內湖路一段737巷51弄,4,0.5,25.0802948,121.57982370000002
台北市內湖路二段,11,1,25.0810743,121.58632050000006
台北市內湖路二段103巷A,20,0.7,25.0822026,121.58113619999995
台北市公園路A,7,1,25.0400652,121.45216860000005
台北市天水路,22,0.77,25.0529372,121.51319190000004
台北市天母北路,41,0.76,25.1211321,121.5266742
台北市天母北路87巷,10,0.4,25.1224857,121.52747220000003
台北市天母北路87巷9弄,22,0.36,25.1222066,121.52760139999998
台北市天母西路,12,1,25.1184616,121.52596670000003
台北市天母西路130巷,9,1,25.1189284,121.52231059999997
台北市天母西路38巷,15,0.87,25.1182189,121.52608450000002
台北市天母東路,39,1,25.1181401,121.53458499999999
台北市天母東路,25,0.4,25.1181401,121.53458499999999
台北市天母東路107巷,3,1,25.119323,121.53776100000005
台北市天母東路69巷,37,0.78,25.1197481,121.53361359999997
台北市天玉街,108,0.62,25.121232,121.52917649999995
台北市天玉街16巷,7,1,25.1207067,121.5282813
台北市天玉街27巷,5,0.6,25.1217644,121.52813609999998
台北市天玉街38巷,28,1,25.1201168,121.52929449999999
台北市天玉街39巷,17,0.88,25.1217621,121.52931940000008
台北市天津街A,23,0.39,25.0486224,121.52256880000004
台北市天津街B,32,0.91,25.0486224,121.52256880000004
台北市天津街C,9,1,25.0486224,121.52256880000004
台北市天祥路,25,0.88,25.0623259,121.52095610000003
台北市太原路,37,1,25.0531821,121.5159893
台北市太原路A,31,0.45,25.0531821,121.5159893
台北市文昌路,22,1,25.0977855,121.5205909
台北市文林路B,42,0.81,25.0950624,121.52461689999996
台北市文湖街,62,0.76,25.0867185,121.56271079999999
台北市文湖街11巷,1,1,25.085742,121.5594542
台北市文湖街21巷,8,0.88,25.0889922,121.56011179999996
台北市文湖街21巷68弄,8,0.75,25.0884468,121.56052219999992
台北市文湖街60巷,17,0.59,25.085506,121.5637878
台北市文湖街81巷,12,0.67,25.0870283,121.56407309999997
台北市文德路,8,1,25.0785524,121.58420769999998
台北市文德路208巷,36,0.78,25.0767612,121.58359710000002
台北市文德路220巷,23,0.83,25.0779585,121.58807079999997
台北市文德路22巷9弄,3,1,25.0770138,121.57935359999999
台北市木柵路一段,69,0.25,24.9874603,121.55016479999995
台北市木柵路二段,16,0.19,24.9887484,121.56089450000002
台北市木新路2段,93,0.19,24.9837842,121.5682587
台北市木新路三段45巷7弄,10,0,24.9821379,121.56490259999998
台北市水源路35巷,47,0.21,25.0185933,121.52418009999997
台北市水源路A,92,0.58,25.0233678,121.51043400000003
台北市水源路B,5,1,25.0233678,121.51043400000003
台北市仙岩路,32,0.16,24.9995871,121.5495502
台北市北平東路,71,0.86,25.0462021,121.52448349999997
台北市北安路,26,1,25.0796156,121.54206850000003
台北市北安路458巷,6,0.33,25.0786137,121.54457249999996
台北市北安路458巷41弄,42,0.81,25.0789505,121.54611249999994
台北市北安路458巷47弄,52,0.35,25.0783986,121.54627290000008
台北市北安路458巷47弄B,27,0.59,25.0783986,121.54627290000008
台北市北安路501巷,78,0.77,25.0796156,121.54206850000003
台北市北安路554巷,10,0.5,25.0800181,121.54921200000001
台北市北安路578巷8弄,2,1,25.0805688,121.54918150000003
台北市北安路588巷,5,1,25.0810672,121.55031639999993
台北市北安路588巷23弄,9,0.78,25.0815233,121.55078830000002
