Name,Usage,Lat,Lon
台北市天津街C,1,25.0486224,121.5225688
台北市天祥路,0.88,25.0623259,121.5209561
台北市太原路,1,25.0531821,121.5159893
台北市太原路A,0.45,25.0531821,121.5159893
台北市文昌路,1,25.0977855,121.5205909
台北市文林路B,0.81,25.0950624,121.5246169
台北市文湖街,0.76,25.0867185,121.5627108
台北市文湖街11巷,1,25.085742,121.5594542
台北市文湖街21巷,0.88,25.0889922,121.5601118
台北市文湖街21巷68弄,0.75,25.0884468,121.5605222
台北市文湖街60巷,0.59,25.085506,121.5637878
台北市文湖街81巷,0.67,25.0870283,121.5640731
台北市文德路,1,25.0785524,121.5842077
台北市文德路208巷,0.78,25.0767612,121.5835971
台北市文德路220巷,0.83,25.0779585,121.5880708
台北市文德路22巷9弄,1,25.0770138,121.5793536
台北市木柵路一段,0.25,24.9874603,121.5501648
台北市木柵路二段,0.19,24.9887484,121.5608945
台北市木新路2段,0.19,24.9837842,121.5682587
台北市木新路三段45巷7弄,0,24.9821379,121.5649026
台北市水源路35巷,0.21,25.0185933,121.5241801
台北市水源路A,0.58,25.0233678,121.510434
台北市水源路B,1,25.0233678,121.510434
台北市仙岩路,0.16,24.9995871,121.5495502
台北市北平東路,0.86,25.0462021,121.5244835
台北市北安路,1,25.0796156,121.5420685
台北市北安路458巷,0.33,25.0786137,121.5445725
台北市北安路458巷41弄,0.81,25.0789505,121.5461125
台北市北安路458巷47弄,0.35,25.0783986,121.5462729
台北市北安路458巷47弄B,0.59,25.0783986,121.5462729
台北市北安路501巷,0.77,25.0796156,121.5420685
台北市北安路554巷,0.5,25.0800181,121.549212
台北市北安路578巷8弄,1,25.0805688,121.5491815
台北市北安路588巷,1,25.0810672,121.5503164
台北市北安路588巷23弄,0.78,25.0815233,121.5507883
台北市北安路588巷30弄,0.92,25.0805422,121.5503096
台北市北安路608巷14弄,0.93,25.0814951,121.5503095
台北市北安路608巷5弄,1,25.0823576,121.549476
台北市北安路630巷,0,25.0827467,121.550013
台北市北安路630巷25弄,0.33,25.083261,121.5503256
台北市北安路630巷9弄,1,25.0834299,121.5497345
台北市北安路770巷,0.43,25.0846195,121.5532793
台北市北安路805巷,0.33,25.0861313,121.5555305
台北市北安路821巷,0.2,25.0851924,121.556377
台北市北安路821巷2弄,0,25.0853797,121.555738
台北市北安路821巷4弄,0.5,25.0855928,121.5562283
台北市北寧路,1,25.0498695,121.5526725
台北市北寧路56巷,1,25.0498582,121.5529938
台北市四平街,0.82,25.0536388,121.5333857
台北市四維路,0.92,25.0309636,121.5479906
台北市四維路154巷,0.78,25.0309711,121.5474756
台北市四維路170巷,1,25.0282013,121.5472687
台北市四維路198巷,0.95,25.0267043,121.5473227
台北市四維路52巷,0.68,25.0350711,121.5471911
台北市四維路76巷,0.72,25.0342329,121.5472055
台北市四維路A,0.5,25.0309636,121.5479906
台北市市民大道七段A,1,25.050719,121.590184
台北市市民大道五段,1,25.0472331,121.5630308
台北市平陽街,0.42,25.0551611,121.5165423
台北市民生西路,0.65,25.0570321,121.5155208
台北市民生西路423巷,0,25.0572481,121.5087846
台北市民生西路A,0.91,25.0570321,121.5155208
台北市民生東路3段113巷,0,25.0589566,121.5461632
台北市民生東路3段113巷25弄,0,25.0591248,121.5472575
台北市民生東路3段127巷,0,25.0584527,121.5474647
台北市民生東路4段55巷,1,25.0586006,121.5505239
台北市民生東路4段75巷,1,25.0584926,121.5512564
台北市民生東路4段75巷5弄,1,25.0588865,121.5508781
台北市民生東路4段97巷7弄,1,25.0589518,121.55162
台北市民生東路5段137巷6弄,0.88,25.0603615,121.5623289
台北市民生東路5段137巷B,1,25.0597839,121.561472
